oos_period,row_model,col_model,cov_matrice
163,8,2,0.0443080210862539
163,8,3,0.28213972845486285
163,8,4,0.041181273605984864
163,8,5,0.2718675271283686
163,8,6,0.17199018309737021
163,8,7,0.35592708864923334
163,8,8,0.9936072538173343
164,1,1,1.250080820676333
164,1,2,0.10437632732520033
164,1,3,0.04061300288215865
164,1,4,0.010169236419161709
164,1,5,-0.07861571317947931
164,1,6,0.14980816012572995
164,1,7,0.34038505152510157
164,1,8,0.26488736830210713
164,2,1,0.10437632732520033
164,2,2,0.8283162241535819
164,2,3,0.14769433352390493
164,2,4,0.1716442050822403
164,2,5,0.13036661900344296
164,2,6,0.18245090284542634
164,2,7,0.16719385946518975
164,2,8,0.09509348701606724
164,3,1,0.04061300288215865
164,3,2,0.14769433352390493
164,3,3,1.1009489623894027
164,3,4,0.1526976673417698
164,3,5,0.13956545641021612
164,3,6,0.2026360834812444
164,3,7,0.14067560684097663
164,3,8,0.19545575704483786
164,4,1,0.010169236419161709
164,4,2,0.1716442050822403
164,4,3,0.1526976673417698
164,4,4,1.190523731218247
164,4,5,0.07310387510190007
164,4,6,0.07164687824967182
164,4,7,0.07040585587248063
164,4,8,0.0941163733920903
164,5,1,-0.07861571317947931
164,5,2,0.13036661900344296
164,5,3,0.13956545641021612
164,5,4,0.07310387510190007
164,5,5,1.2539343087066002
164,5,6,0.43233471575888616
164,5,7,0.04173883275285876
164,5,8,0.3365383065216509
164,6,1,0.14980816012572995
164,6,2,0.18245090284542634
164,6,3,0.2026360834812444
164,6,4,0.07164687824967182
164,6,5,0.43233471575888616
164,6,6,0.9306663965878448
164,6,7,0.158609644323025
164,6,8,0.21234327809683168
164,7,1,0.34038505152510157
164,7,2,0.16719385946518975
164,7,3,0.14067560684097663
164,7,4,0.07040585587248063
164,7,5,0.04173883275285876
164,7,6,0.158609644323025
164,7,7,1.5304226217581427
164,7,8,0.36470052417549476
164,8,1,0.26488736830210713
164,8,2,0.09509348701606724
164,8,3,0.19545575704483786
164,8,4,0.0941163733920903
164,8,5,0.3365383065216509
164,8,6,0.21234327809683168
164,8,7,0.36470052417549476
164,8,8,0.9357461997840083
165,1,1,1.1346509492174197
165,1,2,0.15455257109350706
165,1,3,0.12621081342041313
165,1,4,0.146320568599345
