oos_period,centrality_type,model,centrality_score
179,softmax,2,0.1528502485039944
179,softmax,3,0.19012725029928904
179,softmax,4,0.13482211164048744
179,softmax,5,0.059881418151996706
179,softmax,6,0.026710932482481287
179,softmax,7,0.2376885011597417
179,softmax,8,0.16544213498720323
180,softmax,1,0.05472127385547472
180,softmax,2,0.1594015808196071
180,softmax,3,0.19477779158775385
180,softmax,4,0.13734395172977876
180,softmax,5,0.05410685192776257
180,softmax,6,0.039606496115312875
180,softmax,7,0.09476738284169492
180,softmax,8,0.26527467112261527
181,softmax,1,0.003019286916132103
181,softmax,2,0.019352618166709797
181,softmax,3,0.8972625097723397
181,softmax,4,0.003922311709093061
181,softmax,5,0.007433089460334303
181,softmax,6,0.004687672202745656
181,softmax,7,0.05538926041839161
181,softmax,8,0.008933251354253878
182,softmax,1,0.027608851768924067
182,softmax,2,0.23548100738046038
182,softmax,3,0.07699786008745034
182,softmax,4,0.13517336718935313
182,softmax,5,0.05548778153125969
182,softmax,6,0.11550548106408362
182,softmax,7,0.08192481070630242
182,softmax,8,0.2718208402721662
183,softmax,1,0.044888156456665926
183,softmax,2,0.2699360443375205
183,softmax,3,0.10899726398482333
183,softmax,4,0.10684440612040264
183,softmax,5,0.0654068723385527
183,softmax,6,0.032970500199106204
183,softmax,7,0.12381378449393567
183,softmax,8,0.247142972068993
184,softmax,1,0.03607800533090813
184,softmax,2,0.1344832838399501
184,softmax,3,0.09447527464851424
184,softmax,4,0.06604582831971326
184,softmax,5,0.07782120311097404
184,softmax,6,0.08804242566583734
184,softmax,7,0.2323534447959688
184,softmax,8,0.2707005342881342
185,softmax,1,0.037605823857350666
185,softmax,2,0.19911065698040237
185,softmax,3,0.11050267230979156
185,softmax,4,0.12200178602451253
185,softmax,5,0.0707241026929306
185,softmax,6,0.0361661817269715
185,softmax,7,0.13612857595094824
185,softmax,8,0.28776020045709255
186,softmax,1,0.01583518716242496
186,softmax,2,0.16242497345240056
186,softmax,3,0.12241443476376533
186,softmax,4,0.0418640591826278
186,softmax,5,0.06510909524399487
186,softmax,6,0.04262275656112864
186,softmax,7,0.08789156083567568
186,softmax,8,0.461837932797982
187,softmax,1,0.04112131301597227
187,softmax,2,0.18060182789584692
187,softmax,3,0.14558480011808955
187,softmax,4,0.0801461805134593
187,softmax,5,0.1147433281902219
187,softmax,6,0.07467165193328887
187,softmax,7,0.12046395478009474
187,softmax,8,0.24266694355302654
188,softmax,1,0.019654753078351586
188,softmax,2,0.11013719722987415
188,softmax,3,0.33502059330623457
188,softmax,4,0.010742949858254426
188,softmax,5,0.02957497549070898
188,softmax,6,0.06564585164275952
188,softmax,7,0.023111011631612288
188,softmax,8,0.40611266776220445
189,softmax,1,0.020344543950303395
189,softmax,2,0.3027966932008242
189,softmax,3,0.07024791096407582
189,softmax,4,0.08035125280587702
189,softmax,5,0.12510803540815565
189,softmax,6,0.05633508598278294
189,softmax,7,0.1069353219754581
189,softmax,8,0.23788115571252283
190,softmax,1,0.033475952979313155
