method,event_index,event_time,horizon,relative_gap
full_gcsr_pagerank,1,184,20,7.525121479681758
full_gcsr_pagerank,1,184,21,5.936466366110295
full_gcsr_pagerank,1,184,22,5.14575426818566
full_gcsr_pagerank,1,184,23,5.841509575421036
full_gcsr_pagerank,1,184,24,4.725306843780872
full_gcsr_pagerank,2,194,0,1.0
full_gcsr_pagerank,2,194,1,2.253962055610823
full_gcsr_pagerank,2,194,2,4.140825103146427
full_gcsr_pagerank,2,194,3,3.551847031916293
full_gcsr_pagerank,2,194,4,4.053327039294733
full_gcsr_pagerank,2,194,5,4.938371172424545
full_gcsr_pagerank,2,194,6,3.1826277014742352
full_gcsr_pagerank,2,194,7,3.561845256540541
full_gcsr_pagerank,2,194,8,0.8058249813152224
full_gcsr_pagerank,2,194,9,3.0808071356004354
full_gcsr_pagerank,2,194,10,4.2919225952335465
full_gcsr_pagerank,2,194,11,3.3858395776529417
full_gcsr_pagerank,2,194,12,2.9348601311987714
full_gcsr_pagerank,2,194,13,3.3316813562035614
full_gcsr_pagerank,2,194,14,2.695059643487977
full_gcsr_pagerank,2,194,15,3.6669342658051627
full_gcsr_pagerank,2,194,16,2.978398957092845
full_gcsr_pagerank,2,194,17,5.53699460702663
full_gcsr_pagerank,2,194,18,8.584064997543086
full_gcsr_pagerank,2,194,19,3.737113193547455
full_gcsr_pagerank,2,194,20,5.071524555053946
full_gcsr_pagerank,2,194,21,4.390635482592399
full_gcsr_pagerank,2,194,22,4.5826204047877095
full_gcsr_pagerank,2,194,23,6.9838477840738165
full_gcsr_pagerank,2,194,24,7.998250306905841
full_gcsr_pagerank,3,229,0,1.0
full_gcsr_pagerank,3,229,1,0.5537743241880032
full_gcsr_pagerank,3,229,2,0.6408093991767909
full_gcsr_pagerank,3,229,3,0.5582286986944773
full_gcsr_pagerank,3,229,4,0.5250115136924213
full_gcsr_pagerank,3,229,5,0.6102793964751884
full_gcsr_pagerank,3,229,6,0.7449069281231436
full_gcsr_pagerank,3,229,7,0.7863690709714742
full_gcsr_pagerank,3,229,8,0.5954681700558071
full_gcsr_pagerank,3,229,9,0.645268133709907
full_gcsr_pagerank,3,229,10,1.0787199079349659
full_gcsr_pagerank,3,229,11,1.292229786356821
full_gcsr_pagerank,3,229,12,1.2931535931058047
full_gcsr_pagerank,3,229,13,0.20193671822592305
