t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
110,0.10643671330395746,0.13385420117819222,0.15848172519597373,0.13974469949001014,0.12754794910963418,0.10934729621737474,0.11457997393183449,0.11000744157202304
111,0.1043114552243388,0.13497412176186524,0.16109434916353746,0.1404003887683083,0.12786883992607512,0.10810734499650525,0.1143417336694848,0.10890176648888499
112,0.10204500913850655,0.13641331740330712,0.16373065398236303,0.14088570870723383,0.12823444184748403,0.10674510799025481,0.11408764642316602,0.10785811450668463
113,0.100302333735964,0.1374910239872968,0.16548288133356445,0.14102333937892486,0.1286559858006838,0.10583339419792817,0.11425499810696416,0.10695604345767357
114,0.09850833115649366,0.13846135951996957,0.16720344345033986,0.14103960597783122,0.12905856200865878,0.1051783254769011,0.1144343645740313,0.1061160078347745
115,0.0970780195535521,0.13914113553998808,0.16809698768254727,0.14074593616229183,0.12948215508286212,0.10503748431223506,0.11479163824772956,0.10562664341779388
116,0.09597066144225197,0.13948210403405123,0.16825721420493583,0.14022945542954193,0.12978846653065515,0.10532733796681881,0.1153392509796329,0.10560550941111209
117,0.09428340452003578,0.1402734380563555,0.16971746119770972,0.1398325124486276,0.1303955922960056,0.10471676041905231,0.11551380106577716,0.10526702999543637
118,0.0927569040554177,0.14079417939828046,0.1708377250555973,0.139519551459481,0.13087483699862965,0.10448067813344927,0.1156965281346818,0.10503959676346275
119,0.09121711458262134,0.1415048375405972,0.17223673926223754,0.1393404017328663,0.13143607327534818,0.10390069069793967,0.1157985637427078,0.10456557916468175
120,0.08974294088240956,0.14227566758791838,0.17371339223549487,0.139177762808945,0.13206635315389773,0.1033801807912481,0.11574506608383972,0.10389863645524663
121,0.08825823694044674,0.14308505315856146,0.17522607563129627,0.1391532795374195,0.13282649662566504,0.10251157208563341,0.1156933279562633,0.1032459580637141
122,0.08683607275344064,0.14395531599434294,0.17641651049335091,0.13912446432786857,0.13351039258844816,0.10155152805615533,0.11577229524142274,0.10283342054397047
123,0.08622941834236095,0.14463180396165554,0.17663631822983092,0.1388114151842518,0.1340785744372804,0.10088226576097045,0.11591614405420134,0.10281406002844848
124,0.0855799209539423,0.1451922065055366,0.17682951226779253,0.13862315300614184,0.1346489729531985,0.10025411552181875,0.11616496715300043,0.10270715163756902
125,0.08475651873704317,0.14607628364125233,0.17735779148910316,0.13888702030221756,0.1352854609909698,0.09915945820115565,0.11620713430606526,0.10227033233119294
126,0.08409871440327644,0.14676874301749687,0.17752777200171688,0.1391569230220402,0.13589542283247596,0.09820709312391585,0.11632796324654032,0.10201736835153741
127,0.08262976807476086,0.14769269851624142,0.1779243667985908,0.13964600495520704,0.1366829663074519,0.09719819731739629,0.11663021686758383,0.10159578116176775
