method,oos_period,model,weight
recent_best,269,model_1,0.0
recent_best,269,model_2,0.0
recent_best,269,model_3,0.0
recent_best,269,model_4,0.0
recent_best,269,model_5,0.0
recent_best,269,model_6,0.0
recent_best,269,model_7,1.0
recent_best,269,model_8,0.0
recent_best,270,model_1,0.0
recent_best,270,model_2,0.0
recent_best,270,model_3,0.0
recent_best,270,model_4,0.0
recent_best,270,model_5,0.0
recent_best,270,model_6,0.0
recent_best,270,model_7,1.0
recent_best,270,model_8,0.0
recent_best,271,model_1,0.0
recent_best,271,model_2,0.0
recent_best,271,model_3,0.0
recent_best,271,model_4,0.0
recent_best,271,model_5,0.0
recent_best,271,model_6,0.0
recent_best,271,model_7,1.0
recent_best,271,model_8,0.0
recent_best,272,model_1,0.0
recent_best,272,model_2,0.0
recent_best,272,model_3,0.0
recent_best,272,model_4,0.0
recent_best,272,model_5,0.0
recent_best,272,model_6,0.0
recent_best,272,model_7,1.0
recent_best,272,model_8,0.0
recent_best,273,model_1,0.0
recent_best,273,model_2,0.0
recent_best,273,model_3,0.0
recent_best,273,model_4,0.0
recent_best,273,model_5,0.0
recent_best,273,model_6,0.0
recent_best,273,model_7,1.0
recent_best,273,model_8,0.0
recent_best,274,model_1,0.0
recent_best,274,model_2,0.0
recent_best,274,model_3,0.0
recent_best,274,model_4,0.0
recent_best,274,model_5,0.0
recent_best,274,model_6,1.0
recent_best,274,model_7,0.0
recent_best,274,model_8,0.0
recent_best,275,model_1,0.0
recent_best,275,model_2,0.0
recent_best,275,model_3,0.0
recent_best,275,model_4,0.0
recent_best,275,model_5,0.0
recent_best,275,model_6,1.0
recent_best,275,model_7,0.0
recent_best,275,model_8,0.0
recent_best,276,model_1,0.0
recent_best,276,model_2,0.0
recent_best,276,model_3,0.0
recent_best,276,model_4,0.0
recent_best,276,model_5,0.0
recent_best,276,model_6,1.0
recent_best,276,model_7,0.0
recent_best,276,model_8,0.0
recent_best,277,model_1,0.0
recent_best,277,model_2,0.0
recent_best,277,model_3,0.0
recent_best,277,model_4,0.0
recent_best,277,model_5,0.0
recent_best,277,model_6,1.0
recent_best,277,model_7,0.0
recent_best,277,model_8,0.0
recent_best,278,model_1,0.0
recent_best,278,model_2,0.0
recent_best,278,model_3,0.0
recent_best,278,model_4,0.0
recent_best,278,model_5,0.0
recent_best,278,model_6,1.0
recent_best,278,model_7,0.0
recent_best,278,model_8,0.0
recent_best,279,model_1,0.0
recent_best,279,model_2,0.0
recent_best,279,model_3,0.0
recent_best,279,model_4,0.0
recent_best,279,model_5,0.0
recent_best,279,model_6,1.0
recent_best,279,model_7,0.0
recent_best,279,model_8,0.0
recent_best,280,model_1,0.0
recent_best,280,model_2,0.0
recent_best,280,model_3,0.0
recent_best,280,model_4,0.0
recent_best,280,model_5,0.0
recent_best,280,model_6,1.0
recent_best,280,model_7,0.0
recent_best,280,model_8,0.0
recent_best,281,model_1,0.0
recent_best,281,model_2,0.0
recent_best,281,model_3,0.0
recent_best,281,model_4,0.0
recent_best,281,model_5,0.0
recent_best,281,model_6,1.0
recent_best,281,model_7,0.0
recent_best,281,model_8,0.0
recent_best,282,model_1,0.0
recent_best,282,model_2,0.0
recent_best,282,model_3,0.0
recent_best,282,model_4,0.0
recent_best,282,model_5,0.0
recent_best,282,model_6,1.0
recent_best,282,model_7,0.0
recent_best,282,model_8,0.0
recent_best,283,model_1,0.0
recent_best,283,model_2,0.0
recent_best,283,model_3,0.0
recent_best,283,model_4,0.0
recent_best,283,model_5,0.0
recent_best,283,model_6,1.0
recent_best,283,model_7,0.0
recent_best,283,model_8,0.0
recent_best,284,model_1,0.0
recent_best,284,model_2,0.0
recent_best,284,model_3,0.0
recent_best,284,model_4,0.0
recent_best,284,model_5,0.0
recent_best,284,model_6,1.0
recent_best,284,model_7,0.0
recent_best,284,model_8,0.0
recent_best,285,model_1,0.0
recent_best,285,model_2,0.0
recent_best,285,model_3,0.0
recent_best,285,model_4,0.0
recent_best,285,model_5,0.0
recent_best,285,model_6,1.0
recent_best,285,model_7,0.0
recent_best,285,model_8,0.0
recent_best,286,model_1,0.0
recent_best,286,model_2,0.0
recent_best,286,model_3,0.0
recent_best,286,model_4,0.0
recent_best,286,model_5,0.0
recent_best,286,model_6,1.0
recent_best,286,model_7,0.0
recent_best,286,model_8,0.0
recent_best,287,model_1,0.0
recent_best,287,model_2,0.0
recent_best,287,model_3,0.0
recent_best,287,model_4,0.0
recent_best,287,model_5,0.0
recent_best,287,model_6,1.0
recent_best,287,model_7,0.0
recent_best,287,model_8,0.0
recent_best,288,model_1,0.0
recent_best,288,model_2,0.0
recent_best,288,model_3,0.0
recent_best,288,model_4,0.0
recent_best,288,model_5,0.0
recent_best,288,model_6,1.0
recent_best,288,model_7,0.0
recent_best,288,model_8,0.0
recent_best,289,model_1,0.0
recent_best,289,model_2,0.0
recent_best,289,model_3,0.0
recent_best,289,model_4,0.0
recent_best,289,model_5,0.0
recent_best,289,model_6,1.0
recent_best,289,model_7,0.0
recent_best,289,model_8,0.0
recent_best,290,model_1,0.0
recent_best,290,model_2,0.0
recent_best,290,model_3,0.0
recent_best,290,model_4,0.0
recent_best,290,model_5,0.0
recent_best,290,model_6,1.0
recent_best,290,model_7,0.0
recent_best,290,model_8,0.0
recent_best,291,model_1,0.0
recent_best,291,model_2,0.0
recent_best,291,model_3,0.0
recent_best,291,model_4,0.0
recent_best,291,model_5,0.0
recent_best,291,model_6,1.0
recent_best,291,model_7,0.0
recent_best,291,model_8,0.0
recent_best,292,model_1,0.0
recent_best,292,model_2,0.0
recent_best,292,model_3,0.0
recent_best,292,model_4,0.0
recent_best,292,model_5,0.0
recent_best,292,model_6,1.0
recent_best,292,model_7,0.0
recent_best,292,model_8,0.0
recent_best,293,model_1,0.0
recent_best,293,model_2,0.0
recent_best,293,model_3,0.0
recent_best,293,model_4,0.0
recent_best,293,model_5,0.0
recent_best,293,model_6,1.0
recent_best,293,model_7,0.0
recent_best,293,model_8,0.0
recent_best,294,model_1,0.0
recent_best,294,model_2,0.0
recent_best,294,model_3,0.0
recent_best,294,model_4,0.0
recent_best,294,model_5,0.0
recent_best,294,model_6,1.0
recent_best,294,model_7,0.0
recent_best,294,model_8,0.0
recent_best,295,model_1,0.0
recent_best,295,model_2,0.0
recent_best,295,model_3,0.0
recent_best,295,model_4,0.0
recent_best,295,model_5,0.0
recent_best,295,model_6,1.0
recent_best,295,model_7,0.0
recent_best,295,model_8,0.0
recent_best,296,model_1,0.0
recent_best,296,model_2,0.0
recent_best,296,model_3,0.0
recent_best,296,model_4,0.0
recent_best,296,model_5,0.0
recent_best,296,model_6,1.0
recent_best,296,model_7,0.0
recent_best,296,model_8,0.0
recent_best,297,model_1,0.0
recent_best,297,model_2,0.0
recent_best,297,model_3,0.0
recent_best,297,model_4,0.0
recent_best,297,model_5,0.0
recent_best,297,model_6,1.0
recent_best,297,model_7,0.0
recent_best,297,model_8,0.0
recent_best,298,model_1,0.0
recent_best,298,model_2,0.0
recent_best,298,model_3,0.0
recent_best,298,model_4,0.0
recent_best,298,model_5,0.0
recent_best,298,model_6,1.0
recent_best,298,model_7,0.0
recent_best,298,model_8,0.0
recent_best,299,model_1,0.0
recent_best,299,model_2,0.0
recent_best,299,model_3,0.0
recent_best,299,model_4,0.0
recent_best,299,model_5,0.0
recent_best,299,model_6,1.0
recent_best,299,model_7,0.0
recent_best,299,model_8,0.0
recent_best,300,model_1,0.0
recent_best,300,model_2,0.0
recent_best,300,model_3,0.0
recent_best,300,model_4,0.0
recent_best,300,model_5,0.0
recent_best,300,model_6,1.0
recent_best,300,model_7,0.0
recent_best,300,model_8,0.0
recent_best,301,model_1,0.0
recent_best,301,model_2,0.0
recent_best,301,model_3,0.0
recent_best,301,model_4,0.0
recent_best,301,model_5,0.0
recent_best,301,model_6,1.0
recent_best,301,model_7,0.0
recent_best,301,model_8,0.0
recent_best,302,model_1,0.0
recent_best,302,model_2,0.0
recent_best,302,model_3,0.0
recent_best,302,model_4,0.0
recent_best,302,model_5,0.0
recent_best,302,model_6,1.0
recent_best,302,model_7,0.0
recent_best,302,model_8,0.0
recent_best,303,model_1,0.0
recent_best,303,model_2,0.0
recent_best,303,model_3,0.0
recent_best,303,model_4,0.0
recent_best,303,model_5,0.0
recent_best,303,model_6,1.0
recent_best,303,model_7,0.0
recent_best,303,model_8,0.0
recent_best,304,model_1,0.0
recent_best,304,model_2,0.0
recent_best,304,model_3,0.0
recent_best,304,model_4,0.0
recent_best,304,model_5,0.0
recent_best,304,model_6,1.0
recent_best,304,model_7,0.0
recent_best,304,model_8,0.0
recent_best,305,model_1,0.0
recent_best,305,model_2,0.0
recent_best,305,model_3,0.0
recent_best,305,model_4,0.0
recent_best,305,model_5,0.0
recent_best,305,model_6,1.0
recent_best,305,model_7,0.0
recent_best,305,model_8,0.0
recent_best,306,model_1,0.0
recent_best,306,model_2,0.0
recent_best,306,model_3,0.0
recent_best,306,model_4,0.0
recent_best,306,model_5,0.0
recent_best,306,model_6,1.0
recent_best,306,model_7,0.0
recent_best,306,model_8,0.0
recent_best,307,model_1,0.0
recent_best,307,model_2,0.0
recent_best,307,model_3,0.0
recent_best,307,model_4,0.0
recent_best,307,model_5,0.0
recent_best,307,model_6,1.0
recent_best,307,model_7,0.0
recent_best,307,model_8,0.0
recent_best,308,model_1,0.0
recent_best,308,model_2,0.0
recent_best,308,model_3,0.0
recent_best,308,model_4,0.0
recent_best,308,model_5,0.0
recent_best,308,model_6,1.0
recent_best,308,model_7,0.0
recent_best,308,model_8,0.0
recent_best,309,model_1,0.0
recent_best,309,model_2,0.0
