oos_period,variant,row_model,col_model,adjacency
39,v2,2,4,0.5011513358740535
39,v2,3,1,0.3848775643733268
39,v2,3,2,0.0
39,v2,3,3,0.0
39,v2,3,4,0.030877732264695826
39,v2,4,1,0.11483596133777776
39,v2,4,2,0.0
39,v2,4,3,0.0
39,v2,4,4,0.0
40,v2,1,1,0.0
40,v2,1,2,0.038033471563499774
40,v2,1,3,0.0721911795885407
40,v2,1,4,0.0
40,v2,2,1,0.0
40,v2,2,2,0.0
40,v2,2,3,0.0
40,v2,2,4,0.0
40,v2,3,1,0.0
40,v2,3,2,0.12287540135451136
40,v2,3,3,0.0
40,v2,3,4,0.0
40,v2,4,1,0.30071678481573716
40,v2,4,2,0.19976319845282803
40,v2,4,3,0.28053399120712685
40,v2,4,4,0.0
41,v2,1,1,0.0
41,v2,1,2,0.0
41,v2,1,3,0.010445743405201338
41,v2,1,4,0.0
41,v2,2,1,0.09683109568973267
41,v2,2,2,0.0
41,v2,2,3,0.17336985374991012
41,v2,2,4,0.0
41,v2,3,1,0.0
41,v2,3,2,0.0
41,v2,3,3,0.0
41,v2,3,4,8.866430441267894
41,v2,4,1,0.8129014354453056
41,v2,4,2,0.5449629709103373
41,v2,4,3,0.0
41,v2,4,4,0.0
42,v2,1,1,0.0
42,v2,1,2,0.0
42,v2,1,3,0.0
42,v2,1,4,1.3853431001540886
42,v2,2,1,1.1715462922249809
42,v2,2,2,0.0
42,v2,2,3,0.8148189982953925
42,v2,2,4,2.222052994488779
42,v2,3,1,2.428217868912186
42,v2,3,2,0.0
42,v2,3,3,0.0
42,v2,3,4,1.7194632552346758
42,v2,4,1,0.0
42,v2,4,2,0.0
42,v2,4,3,0.0
42,v2,4,4,0.0
43,v2,1,1,0.0
43,v2,1,2,0.0
43,v2,1,3,0.0
43,v2,1,4,0.0
43,v2,2,1,0.06298571773627973
43,v2,2,2,0.0
43,v2,2,3,3.043241854829082
43,v2,2,4,0.0
43,v2,3,1,0.1455683517286308
43,v2,3,2,0.0
43,v2,3,3,0.0
43,v2,3,4,0.0
43,v2,4,1,0.04914580289352711
43,v2,4,2,0.5287161760536749
43,v2,4,3,2.157515609185442
43,v2,4,4,0.0
44,v2,1,1,0.0
44,v2,1,2,0.0
44,v2,1,3,0.0
44,v2,1,4,0.0
44,v2,2,1,0.14918714796706048
44,v2,2,2,0.0
44,v2,2,3,4.853986136895743
44,v2,2,4,0.0
44,v2,3,1,0.9242923451807787
44,v2,3,2,0.0
44,v2,3,3,0.0
44,v2,3,4,0.0
44,v2,4,1,2618.5567608067477
44,v2,4,2,0.39909460383993167
44,v2,4,3,2.8472234097191604
44,v2,4,4,0.0
45,v2,1,1,0.0
45,v2,1,2,0.42686391144426145
45,v2,1,3,0.28621335734592707
45,v2,1,4,0.0
45,v2,2,1,0.0
45,v2,2,2,0.0
45,v2,2,3,0.252834005663654
45,v2,2,4,0.0
45,v2,3,1,0.0
45,v2,3,2,0.0
45,v2,3,3,0.0
45,v2,3,4,0.0
45,v2,4,1,0.3525088865094424
45,v2,4,2,0.5779376800443186
45,v2,4,3,0.21764621701248327
45,v2,4,4,0.0
46,v2,1,1,0.0
46,v2,1,2,0.34965461974195433
46,v2,1,3,0.26262371576470833
46,v2,1,4,0.9074805938306257
46,v2,2,1,0.0
46,v2,2,2,0.0
46,v2,2,3,0.16136436266888476
46,v2,2,4,0.0
46,v2,3,1,0.0
46,v2,3,2,0.0
46,v2,3,3,0.0
46,v2,3,4,1.9443339418914611
46,v2,4,1,0.0
46,v2,4,2,0.15355097554889546
46,v2,4,3,0.0
46,v2,4,4,0.0
47,v2,1,1,0.0
